title,authors,publisher,published_date,description,page_count,categories,language,isbn_10,isbn_13,rating,ratings_count,source,subtitle,primary_category,final_category,search_query,collection_date,difficulty_level,programming_languages,key_topics
Fundamentals of Operating Systems,LISTER,Springer Science & Business Media,2013-06-29,"An operating system is probably the most important part of the body of soft ware which goes with any modern computer system. I ts importance is reflected in the large amount of manpower usually invested in its construction, and in the mystique by which it is often surrounded. To the non-expert the design and construction of operating systems has often appeared an activity impenetrable to those who do not practise it. I hope this book will go some way toward dispelling the mystique, and encourage",172,Computers,en,1489926860,9781489926869.0,0.0,0,Google Books,,,,,,,,
Operating System,M. Naghibzadeh,iUniverse,2005,"Operating System is the most essential program of all, without which it becomes cumbersome to work with a computer. It is the interface between the hardware and computer users making the computer a pleasant device to use. The Operating System: Concepts and Techniques clearly defines and explains the concepts: process (responsibility, creation, living, and termination), thread (responsibility, creation, living, and termination), multiprogramming, multiprocessing, scheduling, memory management (no",325,Computers,en,0595375979,9780595375974.0,0.0,0,Google Books,,,,,,,,
Operating System,Deitel,Pearson Education India,2004,,1276,Operating systems (Computers),en,8131712893,9788131712894.0,4.0,2,Google Books,,,,,,,,
Principles of Operating Systems,Sri V. Ramesh,"Laxmi Publications, Ltd.",2010,,204,Operating systems,en,9380386176,9789380386171.0,3.0,2,Google Books,,,,,,,,
Fundamentals of Operating Systems,A. LISTER,Springer Science & Business Media,2013-11-11,"An operating system is probably the most important part of the body of soft ware which goes with any modem computer system. Its importance is reflected in the large amount of manpower usually invested in its construction, and in the mystique by which it is often surrounded. To the non-expert, the design and construction of operating systems has often appeared an activity impenetrable to those who do not practise it. I hope this book will go some way toward dispelling the mystique, and encourage ",208,Computers,en,1475722524,9781475722529.0,0.0,0,Google Books,,,,,,,,
"Operating Systems: Internals And Design Principles, 6/E",Stallings,Pearson Education India,2009-09,,844,Computer science,en,8131725286,9788131725283.0,4.0,2,Google Books,,,,,,,,
"Operating Systems: A Systematic View, 6/E",Davis,Pearson Education India,2007-09,"This Sixth Edition Provides Students With An Applied Introduction To The Principles Of Operating Systems While Guiding Them Through Most Operating Systems Used Today. Aimed At Students Who Are Interested In Using, Rather Than Designing, Computer Operating Systems And Networks, The Text Is Designed To Show Why Operating Systems Are Needed And What They Do. This Book Takes Students Through The Principles Of Os And Illustrates Them With A Wealth Of Examples.",692,,en,8131707105,9788131707104.0,0.0,0,Google Books,,,,,,,,
An Introduction to Operating Systems,Harvey M. Deitel,,1983,,632,Computers,en,,,0.0,0,Google Books,,,,,,,,
Operating Systems 5th Edition,William Stallings,Pearson Education India,2006-02,,824,Operating systems (Computers),en,8131703045,9788131703045.0,4.0,3,Google Books,,,,,,,,
Operating Systems,Pranabananda Chakraborty,CRC Press,2023-11-22,"This text demystifies the subject of operating systems by using a simple step-by-step approach, from fundamentals to modern concepts of traditional uniprocessor operating systems, in addition to advanced operating systems on various multiple-processor platforms and also real-time operating systems (RTOSs). While giving insight into the generic operating systems of today, its primary objective is to integrate concepts, techniques, and case studies into cohesive chapters that provide a reasonable ",641,Computers,en,1000929256,9781000929256.0,0.0,0,Google Books,,,,,,,,
Understanding Operating Systems,"Ida M. Flynn, Ann McIver McHoes",Brooks/Cole,1991,"This fourth edition blends operating systems theory and practice in a well-organized way. Its innovative two-part approach explores operating systems theory and development in the first section, and discusses the four most widely-used operating systems (MS-DOS, Windows, Linux, and UNIX) in the second. Each chapter has been updated for currency, and a brand-new chapter on System Security has been added.",376,Computers,en,,,0.0,0,Google Books,,,,,,,,
Operating Systems,Sukomal Pal,KHANNA PUBLISHING HOUSE,2025-06-01,,247,Computers,en,9355385471,9789355385475.0,0.0,0,Google Books,,,,,,,,
Classic Operating Systems,Per Brinch Hansen,Springer Science & Business Media,2001-01-10,"An essential reader containing the 25 most important papers in the development of modern operating systems for computer science and software engineering. The papers illustrate the major breakthroughs in operating system technology from the 1950s to the 1990s. The editor provides an overview chapter and puts all development in perspective with chapter introductions and expository apparatus. Essential resource for graduates, professionals, and researchers in CS with an interest in operating system",626,Computers,en,038795113X,9780387951133.0,5.0,1,Google Books,,,,,,,,
Operating Systems,Dr. R.C. Joshi,Dreamtech Press,2005-06-07,"This book intends to provide a proper understanding of the theoretical and practical concepts of Operating system. Detailed knowledge of the fundamentals of Operating system design and their application to design issues and development of Operating systems are provided in this book. These include basic concepts such as interprocess communication, semaphores, monitors, message passing, scheduling, device drivers, memory management, paging algorithm, deadlocks, file system design issues, security ",392,Operating systems (Computers),en,8177226010,9788177226010.0,0.0,0,Google Books,,,,,,,,
Operating Systems: Principles And Design,Pabitra Pal Choudhury,PHI Learning Pvt. Ltd.,2011-07-30,"Examines the workings of an operating system, which is essentially a concurrent programme, and strikes a fine balance between theory and practice. It provides the programme design illustration and guidance along with new concepts, nd ptrsents an in-depth analysis of the fundamental concepts of an OS as an interrupt driven programme whose basic constituents are the processes giving rise to a concurrent programme.",655,Computers,en,8120338111,9788120338111.0,0.0,0,Google Books,,,,,,,,
Operating System Concepts,"Abraham Silberschatz, Peter B. Galvin",Addison Wesley Publishing Company,1994,"This is the most successful operating systems book on the market, with lifetime sales of well over 200,000 copies. In the fourth edition, this book enhances its reputation for clear coverage of the fundamental concepts which are the foundation of operating systems. The book has been revised to decrease coverage of older ideas, and expand discussion of new, common operating systems.",40,Computers,en,0201504804,9780201504804.0,0.0,0,Google Books,,,,,,,,
Foundation of Operating Systems,Dp Sharma,Excel Books India,2009,,324,Operating systems (Computers),en,8174466266,9788174466266.0,5.0,1,Google Books,,,,,,,,
DISTRIBUTED OPERATING SYSTEMS,"SINHA, PRADEEP K.",PHI Learning Pvt. Ltd.,1998-01-01,"The highly praised book in communications networking from IEEE Press, now available in the Eastern Economy Edition.This is a non-mathematical introduction to Distributed Operating Systems explaining the fundamental concepts and design principles of this emerging technology. As a textbook for students and as a self-study text for systems managers and software engineers, this book provides a concise and an informal introduction to the subject.",761,Computers,en,8120313801,9788120313804.0,0.0,0,Google Books,,,,,,,,
Design and Implementation of Operating System,"Er. Vivek Sharma, Er. Manish Varshney, Shantanu Sharma","Laxmi Publications, Ltd.",2010-08,,500,Electronic data processing,en,9380386419,9789380386416.0,4.0,1,Google Books,,,,,,,,
Operating Systems (Self Edition 1.1.Abridged),Sibsankar Haldar,Sibsankar Haldar,2016-05-29,"Some previous editions of this book were published from Pearson Education (ISBN 9788131730225). This book, designed for those who are taking introductory courses on operating systems, presents both theoretical and practical aspects of modern operating systems. Although the emphasis is on theory, while exposing you (the reader) the subject matter, this book maintains a balance between theory and practice. The theories and technologies that have fueled the evolution of operating systems are primar",809,Computers,en,,,5.0,1,Google Books,,,,,,,,
Mobile Operating Systems,Mr. Rohit Manglik,EduGorilla Publication,2024-06-22,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",197,Computers,en,9358804009,9789358804003.0,0.0,0,Google Books,,,,,,,,
Operating Systems and System Programming,Mr. Rohit Manglik,EduGorilla Publication,2024-02-16,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",227,Computers,en,9367844883,9789367844885.0,0.0,0,Google Books,,,,,,,,
Principles of Modern Operating Systems,"Jose M Garrido, Richard Schlesinger, Kenneth Hoganson",Jones & Bartlett Publishers,2011-09-26,.,583,Computers,en,1449675719,9781449675714.0,0.0,0,Google Books,,,,,,,,
Operating Systems and Process Management,Mr. Rohit Manglik,EduGorilla Publication,2024-03-17,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",250,Computers,en,9371041196,9789371041195.0,0.0,0,Google Books,,,,,,,,
Operating Systems and Middleware,Max Hailperin,Max Hailperin,2007,"By using this innovative text, students will obtain an understanding of how contemporary operating systems and middleware work, and why they work that way.",496,Computers,en,0534423698,9780534423698.0,5.0,1,Google Books,,,,,,,,
"AN INTRODUCTION TO OPERATING SYSTEMS : CONCEPTS AND PRACTICE (GNU/LINUX AND WINDOWS), FIFTH EDITION","BHATT, PRAMOD CHANDRA P.",PHI Learning Pvt. Ltd.,2019-07-01,"The book, now in its Fifth Edition, aims to provide a practical view of GNU/Linux and Windows 7, 8 and 10, covering different design considerations and patterns of use. The section on concepts covers fundamental principles, such as file systems, process management, memory management, input-output, resource sharing, inter-process communication (IPC), distributed computing, OS security, real-time and microkernel design. This thoroughly revised edition comes with a description of an instructional O",877,Computers,en,9387472884,9789387472884.0,0.0,0,Google Books,,,,,,,,
Operating Systems and You: A Modern Guide to Managing Your Digital World,Pasquale De Marco,Pasquale De Marco,2025-07-14,"In an era where technology permeates every aspect of our lives, understanding operating systems is no longer a luxury but a necessity. They are the gatekeepers of our digital world, managing the intricate interplay between hardware, software, and users. This comprehensive guide to operating systems is your gateway to unlocking the secrets of these powerful platforms. Whether you're a seasoned tech enthusiast or a curious novice, this book is meticulously crafted to empower you with a deep unders",170,Technology & Engineering,en,,,0.0,0,Google Books,,,,,,,,
Prelim Ed- Principles of Modern Operating Systems,,Jones & Bartlett Learning,2013,,556,Operating systems (Computers),en,0763746258,9780763746254.0,0.0,0,Google Books,,,,,,,,
Distributed Operating Systems And Algorithm Analysis,Chow,Pearson Education India,2009-09,,596,,en,8131728595,9788131728598.0,5.0,1,Google Books,,,,,,,,
Performance Modeling of Operating Systems Using Object-Oriented Simulations,José M. Garrido,Springer Science & Business Media,2005-11-30,"This book introduces the fundamental concepts and practical simulation te- niques for modeling different aspects of operating systems to study their g- eral behavior and their performance. The approaches applied are obje- oriented modeling and process interaction approach to discrete-event simu- tion. The book depends on the basic modeling concepts and is more specialized than my previous book: Practical Process Simulation with Object-Oriented Techniques and C++, published by Artech House, Bosto",281,Computers,en,0306469766,9780306469763.0,0.0,0,Google Books,,,,,,,,
Advanced Operating Systems and Linux Administration,Mr. Rohit Manglik,EduGorilla Publication,2024-07-28,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",162,Computers,en,9371674164,9789371674164.0,0.0,0,Google Books,,,,,,,,
Real-Time Systems,Rajib Mall,Pearson Education India,2009-05,"The presence and use of real-time systems is becoming increasingly common. Examples of such systems range from nuclear reactors, to automotive controllers, and also entertainment software such as games and graphics animation. The growing importance of rea.",248,Computers,en,8131700690,9788131700693.0,5.0,1,Google Books,,,,,,,,
Operating Systems Principles,"Stanley A. Kurzban, Thomas Samuel Heines, Anthony P. Sayers",Van Nostrand Reinhold Company,1984,"Examines the Functions, Components, & Interfaces of Operating Systems as Well as the Tools, Techniques, & Processes of Their Development",440,Computers,en,,,0.0,0,Google Books,,,,,,,,
Introduction to Operating Systems,"Mrs. Kande Archana,Dr. Anantha Raman G R,Dr. M Ashok,Mr . G Prabhakar Reddy",Nitya Publications,2020-01-01,"Operating systems are an essential part of any computer system. Similarly, a course on operating systems is an essential part of any computer-science education. This book is intended as a text for an introductory course in operating systems at the junior or senior undergraduate level, or at the first year graduate level. It provides a clear description of the concepts that underlie operating systems. In this book, we do not concentrate on any particular operating system or hardware.",266,Computers,en,9390178193,9789390178193.0,0.0,0,Google Books,,,,,,,,
Smartphone Operating System Concepts with Symbian OS,Michael J. Jipping,John Wiley & Sons,2007-04-30,"Smartphone Operating System Concepts with Symbian OS uses Symbian OS as a vehicle to discuss operating system concepts as they are applied to mobile operating systems.It is this focus that makes this tutorial guide both invaluable and extremely relevant for today's student.In addition to presenting and discussing operating system concepts, this book also includes exercises that compare and contrast Symbian OS, Unix/Linux and Microsoft Windows. These assignments can be worked on in a classroom la",354,Computers,en,0470065230,9780470065235.0,0.0,0,Google Books,,,,,,,,
Operating System Concepts and Networking Management,Mr. Rohit Manglik,EduGorilla Publication,2024-05-18,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",367,Computers,en,9371441372,9789371441377.0,0.0,0,Google Books,,,,,,,,
Operating System (WBUT),Rohit Khurana,Vikas Publishing House,,"Operating System is an insightful work that elaborates on fundamentals as well as advanced topics of the discipline. It offers an in-depth coverage of concepts, design and functions of an operating system irrespective of the hardware used. With neat illustrations and examples and presentation of difficult concepts in the simplest form, the aim is to make the subject crystal clear to the students, and the book extremely student-friendly. The book caters to undergraduate students of WBUT, who woul",350,Computers,en,9325974169,9789325974166.0,0.0,0,Google Books,,,,,,,,
Computer Systems,J. Stanley Warford,Jones & Bartlett Learning,2004-11,Computer Science,740,Computers,en,0763732397,9780763732394.0,5.0,1,Google Books,,,,,,,,
Modern Operating Systems,Andrew S. Tanenbaum,,2013,"For Introductory Courses in Operating Systems in Computer Science, Computer Engineering, and Electrical Engineering programs. The widely anticipated revision of this worldwide best-seller incorporates the latest developments in operating systems (OS)technologies. The Third Edition includes up-to-date materials on relevant. OS such as Linux, Windows, and embedded real-time and multimedia systems. Tanenbaum also provides information on current research based on his experience as an operating syste",1038,Operating systems (Computers),en,1292025778,9781292025773.0,0.0,0,Google Books,,,,,,,,
Operating Systems,Gary J. Nutt,Addison-Wesley Longman,2000,"This edition enhances the focus on OS principles and practice with the addition of new lab exercises and examples with NT, Linux and UNIX.",648,Computers,en,,,0.0,0,Google Books,,,,,,,,
Science of Cyber Security,"Wenlian Lu, Kun Sun, Moti Yung, Feng Liu",Springer Nature,2021-10-09,"This book constitutes the proceedings of the Third International Conference on Science of Cyber Security, SciSec 2021, held in Shanghai, China, in August 2021. The 17 full papers and 5 short papers presented in this volume were carefully reviewed and selected from 50 submissions. These papers cover the following subjects: Cyber Security, Detection, Machine Learning and much more.",274,Computers,en,3030891372,9783030891374.0,0.0,0,Google Books,,,,,,,,
Cyber Security certification guide,Cybellium,Cybellium Ltd,,"Empower Your Cybersecurity Career with the ""Cyber Security Certification Guide"" In our digital age, where the threat of cyberattacks looms larger than ever, cybersecurity professionals are the frontline defenders of digital infrastructure and sensitive information. The ""Cyber Security Certification Guide"" is your comprehensive companion to navigating the dynamic world of cybersecurity certifications, equipping you with the knowledge and skills to achieve industry-recognized certifications and ad",423,Computers,en,,9798867999100.0,0.0,0,Google Books,,,,,,,,
Advancements in Cybersecurity,"Agbotiname Lucky Imoize, Oleksandr Kuznetsov, Oleksandr Lemeshko, Oleksandra Yeremenko",CRC Press,2025-06-26,"This book offers a comprehensive exploration of cutting-edge research and developments in the field of cybersecurity. It presents a curated collection of chapters that reflect the latest in empirical data approximation, malware recognition, information security technologies, and beyond. Advancements in Cybersecurity: Next-Generation Systems and Applications offers readers a broad perspective on the multifaceted challenges and solutions in contemporary cybersecurity through topics ranging from th",528,Computers,en,1040363253,9781040363256.0,0.0,0,Google Books,,,,,,,,
Science of Cyber Security,"Feng Liu, Jia Xu, Shouhuai Xu, Moti Yung",Springer Nature,2019-12-06,"This book constitutes the proceedings of the Second International Conference on Science of Cyber Security, SciSec 2019, held in Nanjing, China, in August 2019. The 20 full papers and 8 short papers presented in this volume were carefully reviewed and selected from 62 submissions. These papers cover the following subjects: Artificial Intelligence for Cybersecurity, Machine Learning for Cybersecurity, and Mechanisms for Solving Actual Cybersecurity Problems (e.g., Blockchain, Attack and Defense; E",387,Computers,en,3030346374,9783030346379.0,0.0,0,Google Books,,,,,,,,
Computer Networking and Cybersecurity,Quinn Kiser,,2020-09-05,"If you want to learn the basics of computer networking and how to protect yourself from cyber attacks, then keep reading... Two manuscripts in one book: Computer Networking: An All-in-One Beginner's Guide to Understanding Communications Systems, Network Security, Internet Connections, Cybersecurity and Hacking Cybersecurity: A Simple Beginner's Guide to Cybersecurity, Computer Networks and Protecting Oneself from Hacking in the Form of Phishing, Malware, Ransomware, and Social Engineering This b",242,,en,,9798682990887.0,0.0,0,Google Books,,,,,,,,
"Cyber Security, Artificial Intelligence, Data Protection & the Law","Robert Walters, Marko Novak",Springer Nature,2021-08-24,"This book provides a comparison and practical guide of the data protection laws of Canada, China (Hong Kong, Macau, Taiwan), Laos, Philippines, South Korea, United States and Vietnam. The book builds on the first book Data Protection Law. A Comparative Analysis of Asia-Pacific and European Approaches, Robert Walters, Leon Trakman, Bruno Zeller. As the world comes to terms with Artificial Intelligence (AI), which now pervades the daily lives of everyone. For instance, our smart or Iphone, and sma",464,Law,en,9811616655,9789811616655.0,0.0,0,Google Books,,,,,,,,
Becoming a cyber security architect,Cybellium,Cybellium Ltd,2023-09-05,"In today's interconnected world, the need for robust cybersecurity architecture has never been more critical. ""Becoming a Cyber Security Architect"" by Kris Hermans is your comprehensive guide to mastering the art of designing and building secure digital infrastructure. Whether you're an aspiring cybersecurity professional or an experienced practitioner, this book equips you with the knowledge and skills to become a trusted Cyber Security Architect. Inside this transformative book, you will: Gain",188,Computers,en,,9798399383545.0,0.0,0,Google Books,,,,,,,,
"Cyber Security Auditing, Assurance, and Awareness Through CSAM and CATRAM","Sabillon, Regner",IGI Global,2020-08-07,"With the continued progression of technologies such as mobile computing and the internet of things (IoT), cybersecurity has swiftly risen to a prominent field of global interest. This has led to cyberattacks and cybercrime becoming much more sophisticated to a point where cybersecurity can no longer be the exclusive responsibility of an organization’s information technology (IT) unit. Cyber warfare is becoming a national issue and causing various governments to reevaluate the current defense str",274,Computers,en,1799841634,9781799841630.0,0.0,0,Google Books,,,,,,,,
Cyber Security & Digital Awareness,"Shruti Dalela, Mrs. Preeti Dalela",Shruti Dalela ,2023-10-25,"""Cybersecurity and Digital Awareness for Students"" is an essential book designed for students pursuing various academic disciplines, such as BCA, BA, BCom, BTech, BHSc, and anyone looking to enhance their general awareness in the digital realm. This book combines comprehensive knowledge with a unique feature – multiple-choice questions (MCQs) to help students reinforce their learning. Key aspects of the book include: Cyber Threat Landscape: The book provides a clear understanding of the ever-evo",295,Business & Economics,en,,,0.0,0,Google Books,,,,,,,,
Establishing Cyber Security Programs Through the Community Cyber Security Maturity Model (CCSMM),"White, Gregory B., Sjelin, Natalie",IGI Global,2020-07-17,"As society continues to heavily rely on software and databases, the risks for cyberattacks have increased rapidly. As the dependence on computers has become gradually widespread throughout communities and governments, there is a need for cybersecurity programs that can assist in protecting sizeable networks and significant amounts of data at once. Implementing overarching security policies for software systems is integral to protecting community-wide data from harmful attacks. Establishing Cyber",254,Computers,en,1799844722,9781799844723.0,0.0,0,Google Books,,,,,,,,
Global Cyber Security Labor Shortage and International Business Risk,"Christiansen, Bryan, Piekarz, Agnieszka",IGI Global,2018-10-05,"Global events involving cybersecurity breaches have highlighted the ever-growing dependence on interconnected online systems in international business. The increasing societal dependence on information technology has pushed cybersecurity to the forefront as one of the most urgent challenges facing the global community today. Poor cybersecurity is the primary reason hackers are able to penetrate safeguards in business computers and other networks, and the growing global skills gap in cybersecurit",467,Business & Economics,en,1522559280,9781522559283.0,0.0,0,Google Books,,,,,,,,
The Making of China’s Artificial Intelligence and Cyber Security Policy,Suisheng Zhao,Taylor & Francis,2025-08-08,"The rise of digital technology, particularly artificial intelligence (AI), has transformed societies and international politics. China has responded to the transformation and strived to become one of the global leaders. What is China’s approach toward the objective? Who are the major players and stakeholders in the making of digital policy? How has the Chinese state worked with various stakeholders? To what extent has digital technology influenced China’s authoritarian governance? How has Chines",310,Business & Economics,en,1040412912,9781040412916.0,0.0,0,Google Books,,,,,,,,
US National Cyber Security Strategy and Programs Handbook Volume 1 Strategic Information and Developments,"IBP, Inc.",Lulu.com,2013-07-01,US National Cyber Security Strategy and Programs Handbook - Strategic Information and Developments,336,Business & Economics,en,1577515625,9781577515623.0,0.0,0,Google Books,,,,,,,,
Cyber Security Consultant Diploma - City of London College of Economics - 3 months - 100% online / self-paced,City of London College of Economics,City of London College of Economics,,Overview In this diploma course you will deal with the most important strategies and techniques in cyber security. Content - The Modern Strategies in the Cyber Warfare - Cyber Capabilities in Modern Warfare - Developing Political Response Framework to Cyber Hostilities - Cyber Security Strategy Implementation - Cyber Deterrence Theory and Practice - Data Stream Clustering for Application Layer DDos Detection in Encrypted Traffic - Domain Generation Algorithm Detection Using Machine Learning Meth,1044,Education,en,,,0.0,0,Google Books,,,,,,,,
"Methods, Implementation, and Application of Cyber Security Intelligence and Analytics","Om Prakash, Jena, Gururaj, H.L., Pooja, M.R., Pavan Kumar, S.P.",IGI Global,2022-06-17,"Cyber security is a key focus in the modern world as more private information is stored and saved online. In order to ensure vital information is protected from various cyber threats, it is essential to develop a thorough understanding of technologies that can address cyber security challenges. Artificial intelligence has been recognized as an important technology that can be employed successfully in the cyber security sector. Due to this, further study on the potential uses of artificial intell",286,Computers,en,166843993X,9781668439937.0,0.0,0,Google Books,,,,,,,,
Machine Learning for Cyber Security,"Preeti Malik, Lata Nautiyal, Mangey Ram",Walter de Gruyter GmbH & Co KG,2022-12-05,"This book shows how machine learning (ML) methods can be used to enhance cyber security operations, including detection, modeling, monitoring as well as defense against threats to sensitive data and security systems. Filling an important gap between ML and cyber security communities, it discusses topics covering a wide range of modern and practical ML techniques, frameworks and tools.",175,Business & Economics,en,3110766760,9783110766769.0,1.0,1,Google Books,,,,,,,,
Leadership Fundamentals for Cybersecurity in Public Policy and Administration,Donavon Johnson,Taylor & Francis,2024-09-11,"In an increasingly interconnected and digital world, this book provides comprehensive guidance on cybersecurity leadership specifically tailored to the context of public policy and administration in the Global South. Author Donavon Johnson examines a number of important themes, including the key cybersecurity threats and risks faced by public policy and administration, the role of leadership in addressing cybersecurity challenges and fostering a culture of cybersecurity, effective cybersecurity ",199,Political Science,en,104012268X,9781040122686.0,0.0,0,Google Books,,,,,,,,
Cyber Security Policies and Strategies of the World's Leading States,"Chitadze, Nika",IGI Global,2023-10-11,"Cyber-attacks significantly impact all sectors of the economy, reduce public confidence in e-services, and threaten the development of the economy using information and communication technologies. The security of information systems and electronic services is crucial to each citizen's social and economic well-being, health, and life. As cyber threats continue to grow, developing, introducing, and improving defense mechanisms becomes an important issue. Cyber Security Policies and Strategies of t",315,Computers,en,1668488477,9781668488478.0,0.0,0,Google Books,,,,,,,,
Small Business Cyber Security: Protect Your Enterprise from Threats,Pasquale De Marco,Pasquale De Marco,2025-05-21,"In today's digital world, small businesses are increasingly reliant on technology to operate and grow. However, this also makes them more vulnerable to cyberattacks. Cybercriminals are constantly developing new and sophisticated ways to target small businesses, and a single successful attack can have devastating consequences. **Small Business Cyber Security: Protect Your Enterprise from Threats** is the comprehensive guide to cybersecurity for small businesses. This book provides everything you ",191,Technology & Engineering,en,,,0.0,0,Google Books,,,,,,,,
Global Governance of Space Cyber Security,Du Li,Taylor & Francis,2024-11-25,"The book explores the regulatory and institutional aspects of global governance of space cybersecurity. Focusing on the regulatory aspects, this book argues that the current international law cannot handle the threats posed by malicious cyber and space activities, as regulatory gaps exist owing to terminological ambiguities and legal loopholes. A law-making process in the space field is proposed with a focus on developing soft law instruments through multistakeholder platforms. To enhance the im",173,Law,en,1040260500,9781040260500.0,0.0,0,Google Books,,,,,,,,
Risk Detection and Cyber Security for the Success of Contemporary Computing,"Kumar, Raghvendra, Pattnaik, Prasant Kumar",IGI Global,2023-11-09,"With the rapid evolution of technology, identifying new risks is a constantly moving target. The metaverse is a virtual space that is interconnected with cloud computing and with companies, organizations, and even countries investing in virtual real estate. The questions of what new risks will become evident in these virtual worlds and in augmented reality and what real-world impacts they will have in an ever-expanding internet of things (IoT) need to be answered. Within continually connected so",502,Computers,en,1668493195,9781668493199.0,0.0,0,Google Books,,,,,,,,
"Legal Issues of Digitalisation, Robotization and Cyber Security in the Light of EU Law",Nadežda Šišková,Kluwer Law International B.V.,2024-07-15,"Legal Issues of Digitalisation, Robotization and Cyber Security in the Light of EU Law By Nadežda Šišková, (ed.) The current extremely rapid and dynamic development of modern technologies and the unprecedented degree of their integration into the everyday life of every person are radically changing the previous modus vivendi in the society. The emergence of the Internet and the continuous development of digital technologies have brought into fore a number of new legal problems and issues that re",450,Law,en,9403502185,9789403502182.0,0.0,0,Google Books,,,,,,,,
"Quantum Computing, Cyber Security and Cryptography","S. B. Goyal, Vidyapati Kumar, Sardar M. N. Islam, Deepika Ghai",Springer Nature,2025-08-20,"This book examines the fundamentals of quantum computing and its applications in codebreaking and hacking, as well as strategies and technologies for defending systems against quantum attacks. It brings together leading experts from across academia and industry to provide a comprehensive overview of the impacts of quantum computing on cybersecurity and cryptography. As quantum computers become more powerful and practical in the coming years, they pose a serious threat to current encryption and c",506,Computers,en,981964948X,9789819649488.0,0.0,0,Google Books,,,,,,,,
Cyber Security in Parallel and Distributed Computing,"Dac-Nhuong Le, Raghvendra Kumar, Brojo Kishore Mishra, Jyotir Moy Chatterjee, Manju Khari",John Wiley & Sons,2019-04-16,"The book contains several new concepts, techniques, applications and case studies for cyber securities in parallel and distributed computing The main objective of this book is to explore the concept of cybersecurity in parallel and distributed computing along with recent research developments in the field. Also included are various real-time/offline applications and case studies in the fields of engineering and computer science and the modern tools and technologies used. Information concerning v",292,Computers,en,1119488052,9781119488057.0,0.0,0,Google Books,,,,,,,,
Modern Approaches in IoT and Machine Learning for Cyber Security,"Vinit Kumar Gunjan, Mohd Dilshad Ansari, Mohammed Usman, ThiDieuLinh Nguyen",Springer Nature,2023-12-07,"This book examines the cyber risks associated with Internet of Things (IoT) and highlights the cyber security capabilities that IoT platforms must have in order to address those cyber risks effectively. The chapters fuse together deep cyber security expertise with artificial intelligence (AI), machine learning, and advanced analytics tools, which allows readers to evaluate, emulate, outpace, and eliminate threats in real time. The book’s chapters are written by experts of IoT and machine learnin",415,Technology & Engineering,en,3031099559,9783031099557.0,0.0,0,Google Books,,,,,,,,
Artificial Intelligence for Cyber Security and Industry 4.0,"Dinesh Sharma, Geetam Singh Tomar, Anand Jha",CRC Press,2025-04-22,"Artificial Intelligence for Cyber Security and Industry 4.0 offers a comprehensive exploration of the intersection of artificial intelligence (AI) and cyber security, providing readers with a thorough understanding of both the advantages and risks posed by AI technologies in modern industries. Covering a wide array of topics, from data anonymization and intrusion detection to AI's role in cloud security, border surveillance, and healthcare, this book addresses current challenges and proposes inn",416,Computers,en,1040345565,9781040345566.0,0.0,0,Google Books,,,,,,,,
Developing a Cybersecurity Framework for Small and Medium Enterprises in the UK,Shweta Singh,GRIN Verlag,2024-10-15,"Academic Paper from the year 2024 in the subject Computer Science - Commercial Information Technology, , language: English, abstract: This research fills the existing gap of having a general framework for cybersecurity and comes up with strategies best suited for SMEs in the UK. Due to the large number of SMEs in the UK, the economy heavily depends on them; however, those organizations have many cybersecurity issues due to the lack of funds, the increased number of strict rules, and new/advanced",58,Computers,en,3389078207,9783389078204.0,0.0,0,Google Books,,,,,,,,
"Advances in Data Science, Cyber Security and IT Applications","Auhood Alfaries, Hanan Mengash, Ansar Yasar, Elhadi Shakshuki",Springer Nature,2019-12-20,"This book constitutes the refereed proceedings of the First International Conference on Intelligent Cloud Computing, ICC 2019, held in Riyadh, Saudi Arabia, in December 2019. The two-volume set presents 53 full papers, which were carefully reviewed and selected from 174 submissions. The papers are organized in topical sections on Cyber Security; Data Science; Information Technology and Applications; Network and IoT.",343,Computers,en,3030363651,9783030363659.0,0.0,0,Google Books,,,,,,,,
Professional Mobile Application Development,"Jeff McWherter, Scott Gowell",John Wiley & Sons,2012-08-16,"Create applications for all major smartphone platforms Creating applications for the myriad versions and varieties of mobile phone platforms on the market can be daunting to even the most seasoned developer. This authoritative guide is written in such as way that it takes your existing skills and experience and uses that background as a solid foundation for developing applications that cross over between platforms, thereby freeing you from having to learn a new platform from scratch each time. C",432,Computers,en,1118240685,9781118240687.0,0.0,0,Google Books,,,,,,,,
